ID1,ORIGINE_DA,ANNO,codice,sif,N_POZZO,N_POZZO_TX,COMUNE,INDIRIZZO_,INDIRIZZO,X,GEN,Y,Z,APR,FEB,MAR,MAG,GIU,LUG,AGO,SET_,OTT,NOV,DIC
1,CAP                                                                                                                                                                                                                                                           ,1995,191003                                                                                                                                                                                                                                                        ,0980040003                                                                                                                                                                                                                                                    ,3,3                                                                                                                                                                                                                                                             ,BORGHETTO LODIGIANO                                                                                                                                                                                                                                           ,                                                                                                                                                                                                                                                              ,                                                                                                                                                                                                                                                              ,1538844,7.92,5006972,67.66,7.68,7.45,7.48,8,7.55,7.77,7.83,7.45,7.4,7.4,7.54
2,CAP                                                                                                                                                                                                                                                           ,1992,3                                                                                                                                                                                                                                                             ,0980040003                                                                                                                                                                                                                                                    ,3,3                                                                                                                                                                                                                                                             ,BORGHETTO LODIGIANO                                                                                                                                                                                                                                           ,                                                                                                                                                                                                                                                              ,                                                                                                                                                                                                                                                              ,1538844,8.22,5006972,67.66,8.52,8.44,8.37,8.63,0,0,8,0,7.65,7.52,7.72
3,CAP                                                                                                                                                                                                                                                           ,1993,3                                                                                                                                                                                                                                                             ,0980040003                                                                                                                                                                                                                                                    ,3,3                                                                                                                                                                                                                                                             ,BORGHETTO LODIGIANO                                                                                                                                                                                                                                           ,                                                                                                                                                                                                                                                              ,                                                                                                                                                                                                                                                              ,1538844,7.87,5006972,67.66,8.04,8.13,7.93,8.12,8,7.9,0,8.13,7.74,0,0
4,CAP                                                                                                                                                                                                                                                           ,1994,3                                                                                                                                                                                                                                                             ,0980040003                                                                                                                                                                                                                                                    ,3,3                                                                                                                                                                                                                                                             ,BORGHETTO LODIGIANO                                                                                                                                                                                                                                           ,                                                                                                                                                                                                                                                              ,                                                                                                                                                                                                                                                              ,1538844,8,5006972,67.66,0,8.06,8.17,0,0,0,8.1,8,7.7,7.52,0
5,CAP                                                                                                                                                                                                                                                           ,1990,28007                                                                                                                                                                                                                                                         ,0980040007                                                                                                                                                                                                                                                    ,7,7                                                                                                                                                                                                                                                             ,BORGHETTO LODIGIANO                                                                                                                                                                                                                                           ,                                                                                                                                                                                                                                                              ,                                                                                                                                                                                                                                                              ,1539108,7.83,5004665,60.63,8.35,7.94,8.17,8.12,8.23,8.1,0,7.83,0,8.05,8.12
6,CAP                                                                                                                                                                                                                                                           ,1996,98004.0007                                                                                                                                                                                                                                                    ,0980040007                                                                                                                                                                                                                                                    ,7,7                                                                                                                                                                                                                                                             ,BORGHETTO LODIGIANO                                                                                                                                                                                                                                           ,BORGHETTO LOD.            Casoni 3                                                                                                                                                                                                                            ,Casoni 3                                                                                                                                                                                                                                                      ,1539108,7.4,5004665,60.63,8.2,7.4,7.68,0,8.18,8,7.88,7.82,0,7.42,7.48
7,CAP                                                                                                                                                                                                                                                           ,1997,98004.0007                                                                                                                                                                                                                                                    ,0980040007                                                                                                                                                                                                                                                    ,7,7                                                                                                                                                                                                                                                             ,BORGHETTO LODIGIANO                                                                                                                                                                                                                                           ,BORGHETTO LOD.            Casoni 3                                                                                                                                                                                                                            ,Casoni 3                                                                                                                                                                                                                                                      ,1539108,7.25,5004665,60.63,7.8,0,7.37,8.15,7.8,8.5,0,8.8,7.75,7.95,0
8,CAP                                                                                                                                                                                                                                                           ,1998,98004.0007                                                                                                                                                                                                                                                    ,0980040007                                                                                                                                                                                                                                                    ,7,7                                                                                                                                                                                                                                                             ,BORGHETTO LODIGIANO                                                                                                                                                                                                                                           ,BORGHETTO LOD.            Casoni 3                                                                                                                                                                                                                            ,Casoni 3                                                                                                                                                                                                                                                      ,1539108,7.8,5004665,60.63,8.12,0,7.9,8.2,8.07,0,0,7.55,0,7.98,0
9,CAP                                                                                                                                                                                                                                                           ,1999,98004.0007                                                                                                                                                                                                                                                    ,0980040007                                                                                                                                                                                                                                                    ,7,7                                                                                                                                                                                                                                                             ,BORGHETTO LODIGIANO                                                                                                                                                                                                                                           ,BORGHETTO LOD.            Casoni 3                                                                                                                                                                                                                            ,Casoni 3                                                                                                                                                                                                                                                      ,1539108,8.15,5004665,60.63,8.58,8.4,0,0,9,9.35,0,8.5,0,0,0
10,CAP                                                                                                                                                                                                                                                           ,2000,98004.0007                                                                                                                                                                                                                                                    ,0980040007                                                                                                                                                                                                                                                    ,7,7                                                                                                                                                                                                                                                             ,BORGHETTO LODIGIANO                                                                                                                                                                                                                                           ,BORGHETTO LOD.            Casoni 3                                                                                                                                                                                                                            ,Casoni 3                                                                                                                                                                                                                                                      ,1539108,8.5,5004665,60.63,0,8.9,8.8,8.7,9,0,8.6,8.7,8.3,0,8.4
11,CAP                                                                                                                                                                                                                                                           ,2001,98004.0007                                                                                                                                                                                                                                                    ,0980040007                                                                                                                                                                                                                                                    ,7,7                                                                                                                                                                                                                                                             ,BORGHETTO LODIGIANO                                                                                                                                                                                                                                           ,BORGHETTO LOD.            Casoni 3                                                                                                                                                                                                                            ,Casoni 3                                                                                                                                                                                                                                                      ,1539108,8.6,5004665,60.63,9,8.7,8.9,9.2,9.3,9.5,0,9.6,0,0,9.3
12,CAP                                                                                                                                                                                                                                                           ,2002,98004.0007                                                                                                                                                                                                                                                    ,0980040007                                                                                                                                                                                                                                                    ,7,7                                                                                                                                                                                                                                                             ,BORGHETTO LODIGIANO                                                                                                                                                                                                                                           ,BORGHETTO LOD.            Casoni 3                                                                                                                                                                                                                            ,Casoni 3                                                                                                                                                                                                                                                      ,1539108,9.5,5004665,60.63,0,9.8,10,9.2,0,0,8.8,8.7,9,0,9
13,CAP                                                                                                                                                                                                                                                           ,2003,98004.0007                                                                                                                                                                                                                                                    ,0980040007                                                                                                                                                                                                                                                    ,7,7                                                                                                                                                                                                                                                             ,BORGHETTO LODIGIANO                                                                                                                                                                                                                                           ,BORGHETTO LOD.            Casoni 3                                                                                                                                                                                                                            ,Casoni 3                                                                                                                                                                                                                                                      ,1539108,0,5004665,60.63,0,0,9.2,0,8.9,0,0,9,0,0,9.7
14,CAP                                                                                                                                                                                                                                                           ,2004,980040007                                                                                                                                                                                                                                                     ,0980040007                                                                                                                                                                                                                                                    ,7,7                                                                                                                                                                                                                                                             ,BORGHETTO LODIGIANO                                                                                                                                                                                                                                           ,BORGHETTO LOD.            Casoni 3                                                                                                                                                                                                                            ,Casoni 3                                                                                                                                                                                                                                                      ,1539108,0,5004665,60.63,0,0,8.8,0,9,0,0,9.3,0,0,9.4
15,CAP                                                                                                                                                                                                                                                           ,2006,980040007                                                                                                                                                                                                                                                     ,0980040007                                                                                                                                                                                                                                                    ,7,7                                                                                                                                                                                                                                                             ,BORGHETTO LODIGIANO                                                                                                                                                                                                                                           ,BORGHETTO LOD.            Casoni 3                                                                                                                                                                                                                            ,Casoni 3                                                                                                                                                                                                                                                      ,1539108,0,5004665,60.63,0,0,10.4,0,11,0,0,0,0,0,0
16,CAP                                                                                                                                                                                                                                                           ,2007,980040007                                                                                                                                                                                                                                                     ,0980040007                                                                                                                                                                                                                                                    ,7,7                                                                                                                                                                                                                                                             ,BORGHETTO LODIGIANO                                                                                                                                                                                                                                           ,BORGHETTO LOD.            Casoni 3                                                                                                                                                                                                                            ,Casoni 3                                                                                                                                                                                                                                                      ,1539108,7.05,5004665,60.63,0,8.6,8.9,0,9.35,0,0,8.4,0,0,8.2
17,CAP                                                                                                                                                                                                                                                           ,2008,980040007                                                                                                                                                                                                                                                     ,0980040007                                                                                                                                                                                                                                                    ,7,7                                                                                                                                                                                                                                                             ,BORGHETTO LODIGIANO                                                                                                                                                                                                                                           ,BORGHETTO LOD.            Casoni 3                                                                                                                                                                                                                            ,Casoni 3                                                                                                                                                                                                                                                      ,1539108,0,5004665,60.63,0,0,8.7,0,8.55,0,0,8.6,0,0,7.65
18,CAP                                                                                                                                                                                                                                                           ,2009,980040007                                                                                                                                                                                                                                                     ,0980040007                                                                                                                                                                                                                                                    ,7,7                                                                                                                                                                                                                                                             ,BORGHETTO LODIGIANO                                                                                                                                                                                                                                           ,BORGHETTO LOD.            Casoni 3                                                                                                                                                                                                                            ,Casoni 3                                                                                                                                                                                                                                                      ,1539108,0,5004665,60.63,0,0,8.7,0,8.85,0,0,9.01,0,0,10.53
19,CAP                                                                                                                                                                                                                                                           ,1987,2                                                                                                                                                                                                                                                             ,0980050002                                                                                                                                                                                                                                                    ,2,2                                                                                                                                                                                                                                                             ,BORGO SAN GIOVANNI                                                                                                                                                                                                                                            ,                                                                                                                                                                                                                                                              ,                                                                                                                                                                                                                                                              ,1533421,5.4,5013656,77.78,5.5,5.3,5.3,5.6,5.4,5.3,5.1,5.2,5.1,5.3,5.2
20,CAP                                                                                                                                                                                                                                                           ,1988,2                                                                                                                                                                                                                                                             ,0980050002                                                                                                                                                                                                                                                    ,2,2                                                                                                                                                                                                                                                             ,BORGO SAN GIOVANNI                                                                                                                                                                                                                                            ,                                                                                                                                                                                                                                                              ,                                                                                                                                                                                                                                                              ,1533421,5.4,5013656,77.78,5.5,5.2,5.5,5.3,5.3,0,5.1,5.2,5.2,5.5,0
21,CAP                                                                                                                                                                                                                                                           ,1989,2                                                                                                                                                                                                                                                             ,0980050002                                                                                                                                                                                                                                                    ,2,2                                                                                                                                                                                                                                                             ,BORGO SAN GIOVANNI                                                                                                                                                                                                                                            ,                                                                                                                                                                                                                                                              ,                                                                                                                                                                                                                                                              ,1533421,5.5,5013656,77.78,5.3,5.4,5.5,5.4,5.1,5.2,5.1,0,0,5.25,5.4
22,CAP                                                                                                                                                                                                                                                           ,1990,2                                                                                                                                                                                                                                                             ,0980050002                                                                                                                                                                                                                                                    ,2,2                                                                                                                                                                                                                                                             ,BORGO SAN GIOVANNI                                                                                                                                                                                                                                            ,                                                                                                                                                                                                                                                              ,                                                                                                                                                                                                                                                              ,1533421,5.4,5013656,77.78,5.96,5.38,5.5,5.78,5.95,5.8,0,4.57,0,4.88,4.93
23,CAP                                                                                                                                                                                                                                                           ,1991,2                                                                                                                                                                                                                                                             ,0980050002                                                                                                                                                                                                                                                    ,2,2                                                                                                                                                                                                                                                             ,BORGO SAN GIOVANNI                                                                                                                                                                                                                                            ,                                                                                                                                                                                                                                                              ,                                                                                                                                                                                                                                                              ,1533421,5.38,5013656,77.78,5.3,5.32,5.35,6.27,6.1,5.98,0,4.28,4.53,5.04,5.37
24,CAP                                                                                                                                                                                                                                                           ,1992,2                                                                                                                                                                                                                                                             ,0980050002                                                                                                                                                                                                                                                    ,2,2                                                                                                                                                                                                                                                             ,BORGO SAN GIOVANNI                                                                                                                                                                                                                                            ,                                                                                                                                                                                                                                                              ,                                                                                                                                                                                                                                                              ,1533421,5.96,5013656,77.78,6.68,5.88,6.32,6.77,6.65,6.1,5.38,0,5.18,5.14,5.32
25,CAP                                                                                                                                                                                                                                                           ,1993,2                                                                                                                                                                                                                                                             ,0980050002                                                                                                                                                                                                                                                    ,2,2                                                                                                                                                                                                                                                             ,BORGO SAN GIOVANNI                                                                                                                                                                                                                                            ,                                                                                                                                                                                                                                                              ,                                                                                                                                                                                                                                                              ,1533421,5.55,5013656,77.78,5.97,5.83,5.81,6.2,6.16,5.4,0,5.48,4.67,0,0
